Rank,Group,PrimerID,Pair,Target,GeneID,GeneName,Len,Intron.Len,MeltPeak,IsRef,STDcurve,Intercept,Slope,R2,Efficiency,Log.Base,High.Mass,Low.Mass,Unit.Mass,High.Moles,Low.Moles,Unit.Mols,Copy.No.High,Copy.No.Low,Programe,Annealing Tm
1,0,XL007,XL007F2/R2,ACO3,AT2G05710,ACO3,126,77,75.5,T,T,34.47534,-3.482288,0.999477,0.9371692,10,1.00E+05,1.00E+00,ag,1.28E+00,1.28E-05,amol,7.73E+05,7.73E+00,XL2STEP_MELT,60
2,0,XL008,XL008F2/R2,eIF5B1,AT1G76810,eIF5B1,112,85,78,T,T,33.04002,-3.511108,0.9999287,0.9266837,10,1.00E+05,1.00E+00,ag,1.44E+00,1.44E-05,amol,8.69E+05,8.69E+00,XL2STEP_MELT,60
3,0,XL101,XL101F/R,G2484,AT4G17330,G2484,105,80,81.5,F,T,32.69728,-3.469018,0.9997663,0.9420749,10,1.00E+05,1.00E+00,ag,1.54E+00,1.54E-05,amol,9.27E+05,9.27E+00,XL2STEP_MELT,60
4,0,XL102,XL102F/R,NuP,AT4G38760,NA,98,87,76,F,T,33.0515,-3.411595,0.9993661,0.9638938,10,1.00E+05,1.00E+00,ag,1.65E+00,1.65E-05,amol,9.93E+05,9.93E+00,XL2STEP_MELT,60
5,1,XL010.1,XL010F/R,WOX4.1,AT1G46480,WOX4,70,0,,F,T,32.39205,-3.49563,0.9997498,0.9322863,10,1.00E+05,1.00E+00,ag,2.31E+00,2.31E-05,amol,1.39E+06,1.39E+01,XL2STEP_MELT,60
6,1,XL010.2,XL010F/R2,WOX4.2,AT1G46480,WOX4,79,0,78.5,F,T,32.16718,-3.279979,0.9981254,1.0178088,10,1.00E+05,1.00E+00,ag,2.05E+00,2.05E-05,amol,1.23E+06,1.23E+01,XL2STEP_MELT,60
7,1,XL046,XL046F/R,MP,AT1G19850,MP,90,96,77.5,F,T,31.85279,-3.525779,0.9995124,0.9214332,10,1.00E+05,1.00E+00,ag,1.80E+00,1.80E-05,amol,1.08E+06,1.08E+01,XL2STEP_MELT,60
8,1,XL044,XL044F/R,ANT,AT4G37750,ANT,217,87,81,F,T,33.47611,-3.45502,0.9993661,0.9473048,10,1.00E+05,1.00E+00,ag,7.46E-01,7.46E-06,amol,4.49E+05,4.49E+00,XL2STEP_MELT,60
9,1,XL042.2,XL042F2/R2,ATHB8.2,AT4G32880,ATHB8,97,91,80.5,F,T,32.87274,-3.419367,0.9977453,0.9608836,10,1.00E+05,1.00E+00,ag,1.67E+00,1.67E-05,amol,1.00E+06,1.00E+01,XL2STEP_MELT,60
10,1,XL034,XL034F/R,bHLH157,AT1G64625,bHLH157,127,93,81,F,T,33.23143,-3.439115,0.9997528,0.9533158,10,1.00E+05,1.00E+00,ag,1.27E+00,1.27E-05,amol,7.67E+05,7.67E+00,XL2STEP_MELT,60
11,1,XL039,XL039F2/R2,ZincF,AT2G38970,NA,119,438,73,F,T,33.80769,-3.582886,0.9983875,0.9015362,10,1.00E+05,1.00E+00,ag,1.36E+00,1.36E-05,amol,8.18E+05,8.18E+00,XL2STEP_MELT,60
12,1,XL054,XL054F/R,ZincF2,AT3G54780,NA,78,414,75.5,F,T,32.59105,-3.3804,0.9997116,0.9761641,10,1.00E+05,1.00E+01,ag,2.07E+00,2.07E-04,amol,1.25E+06,1.25E+02,XL2STEP_MELT,60
13,1,XL058,XL058F/R,TCP3,AT1G53230,TCP3,60,94,76,F,T,32.36078,-3.388319,0.9998284,0.9730206,10,1.00E+05,1.00E+01,ag,2.69E+00,2.69E-04,amol,1.62E+06,1.62E+02,XL2STEP_MELT,60
14,2,XL043,XL043F/R,CYCD3-1,AT4G34160,CYCD3;1,149,109,81,F,T,33.71122,-3.452042,0.9999584,0.9484248,10,1.00E+05,1.00E+00,ag,1.09E+00,1.09E-05,amol,6.54E+05,6.54E+00,XL2STEP_MELT,60
15,2,XL050,XL050F/R,BAM2,AT3G49670,BAM2,74,0,76,F,T,33.3331,-3.415316,0.9998471,0.9624502,10,1.00E+05,1.00E+01,ag,2.19E+00,2.19E-04,amol,1.32E+06,1.32E+02,XL2STEP_MELT,60
16,2,XL055,XL055F/R,PXC1,AT2G36570,PXC1,104,124,78.5,F,T,32.57414,-3.359706,0.9998438,0.9844727,10,1.00E+05,1.00E+01,ag,1.56E+00,1.56E-04,amol,9.36E+05,9.36E+01,XL2STEP_MELT,60
17,2,XL051,XL051F/R,PXC2,AT5G01890,PXC2,148,86,81,F,T,32.55388,-3.366359,0.9999347,0.9817865,10,1.00E+05,1.00E+01,ag,1.09E+00,1.09E-04,amol,6.58E+05,6.58E+01,XL2STEP_MELT,60
18,2,XL057,XL057F/R,LBD4,AT1G31320,LBD4,70,407,77.5,F,T,32.02969,-3.417919,0.9998255,0.9614429,10,1.00E+05,1.00E+01,ag,2.31E+00,2.31E-04,amol,1.39E+06,1.39E+02,XL2STEP_MELT,60
19,2,XL065,XL065F/R,DRL,AT5G23400,NA,76,0,77.5,F,T,32.59241,-3.428794,0.9992758,0.9572566,10,1.00E+05,1.00E+01,ag,2.13E+00,2.13E-04,amol,1.28E+06,1.28E+02,XL2STEP_MELT,60
20,2,XL040,XL040F2/R2,CaDK,AT2G47010,NA,79,66,77,F,T,33.50001,-3.484216,0.9992411,0.9364605,10,1.00E+05,1.00E+00,ag,2.05E+00,2.05E-05,amol,1.23E+06,1.23E+01,XL2STEP_MELT,60
